subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
46,0.48,0.4019999999999999,0.374,0.376,0.445,0.6799999999999999,0.8099999999999999,0.32,0.3899999999999999,0.4399999999999999,0.52,0.4765,0.4679999999999999,0.498,0.4985,0.495,0.695,0.385,0.505,0.5
47,0.58,0.593,0.6190000000000001,0.637,0.6629999999999999,0.67,0.5900000000000001,0.64,0.6199999999999999,0.6,0.555,0.5365,0.532,0.4995,0.5,0.6900000000000001,0.575,0.5349999999999999,0.605,0.49
48,0.86,0.8270000000000001,0.7609999999999999,0.75,0.696,0.7,0.78,0.85,0.86,0.8300000000000001,0.765,0.6315,0.5365,0.5185,0.499,0.655,0.7,0.525,0.775,0.64
49,0.95,0.897,0.853,0.807,0.711,0.89,0.91,0.8400000000000001,0.92,0.85,0.8400000000000001,0.6990000000000001,0.6125,0.5685,0.5329999999999999,0.89,0.825,0.6,0.745,0.55
50,0.65,0.622,0.616,0.6030000000000001,0.578,0.4799999999999998,0.35,0.6599999999999999,0.6300000000000001,0.6900000000000001,0.625,0.5295000000000001,0.535,0.5065,0.5035000000000001,0.49,0.48,0.57,0.55,0.595
51,0.8,0.7160000000000001,0.67,0.569,0.5159999999999999,0.5,0.4599999999999999,0.72,0.8,0.76,0.725,0.6135,0.536,0.507,0.498,0.48,0.4599999999999999,0.6849999999999999,0.645,0.63
52,0.9,0.852,0.782,0.77,0.634,0.8699999999999999,0.9,0.8099999999999999,0.89,0.8,0.8150000000000001,0.6605,0.5845,0.569,0.5125,0.775,0.8150000000000001,0.5,0.795,0.5
53,0.93,0.885,0.852,0.8440000000000001,0.769,0.52,0.6900000000000001,0.93,0.94,0.91,0.8300000000000001,0.674,0.631,0.5945,0.525,0.54,0.6849999999999999,0.635,0.79,0.6849999999999999
54,0.9,0.804,0.786,0.774,0.7440000000000001,0.8800000000000001,0.82,0.8800000000000001,0.8699999999999999,0.82,0.845,0.6295000000000001,0.613,0.5835,0.536,0.8,0.7350000000000001,0.725,0.62,0.5
55,1.0,0.979,0.905,0.8640000000000001,0.773,0.96,0.96,0.99,1.0,0.97,1.0,0.6965,0.597,0.5375,0.522,0.915,0.93,0.5,0.845,0.585
56,0.99,0.964,0.944,0.943,0.917,0.8400000000000001,0.93,0.99,0.99,0.99,0.905,0.6759999999999999,0.5725,0.5489999999999999,0.5325,0.77,0.86,0.635,0.8800000000000001,0.5
57,0.51,0.451,0.382,0.396,0.38,0.65,0.71,0.51,0.5,0.3899999999999999,0.665,0.4795,0.4625,0.4654999999999999,0.494,0.65,0.74,0.445,0.5,0.48
58,0.48,0.4629999999999999,0.477,0.482,0.475,0.5,0.57,0.54,0.45,0.4599999999999999,0.485,0.4745,0.48,0.5105,0.4945,0.525,0.4549999999999999,0.475,0.5,0.5
59,0.4799999999999998,0.4379999999999999,0.385,0.418,0.41,0.5299999999999999,0.45,0.43,0.49,0.5,0.485,0.48,0.4679999999999999,0.488,0.498,0.4599999999999999,0.4599999999999999,0.45,0.5650000000000001,0.475
60,0.94,0.917,0.9,0.8710000000000001,0.815,0.94,0.95,0.76,0.94,0.93,0.865,0.653,0.6345000000000001,0.5625,0.5885,0.835,0.89,0.5,0.7849999999999999,0.5
61,0.6799999999999999,0.698,0.665,0.625,0.596,0.85,0.76,0.6199999999999999,0.71,0.69,0.6100000000000001,0.5395,0.4975,0.526,0.5165,0.745,0.685,0.53,0.6,0.5650000000000001
62,0.95,0.944,0.897,0.843,0.764,0.98,0.99,0.8800000000000001,0.94,0.93,0.885,0.6545000000000001,0.6375,0.5820000000000001,0.5665,0.915,0.98,0.5,0.62,0.5
63,0.45,0.508,0.483,0.546,0.5660000000000001,0.37,0.51,0.52,0.4899999999999999,0.44,0.45,0.484,0.489,0.497,0.5,0.365,0.48,0.515,0.505,0.4599999999999999
64,0.51,0.506,0.439,0.485,0.478,0.53,0.76,0.4199999999999999,0.4699999999999999,0.4899999999999999,0.54,0.4915,0.5095000000000001,0.509,0.5005,0.5199999999999999,0.63,0.48,0.47,0.4599999999999999
65,0.5900000000000001,0.57,0.509,0.4969999999999999,0.42,0.6199999999999999,0.61,0.53,0.52,0.52,0.6,0.5385,0.501,0.523,0.495,0.575,0.495,0.58,0.485,0.505
